pmtid,pmtx,pmty,pmtz
7429,1652.6521,-353.3286,569.3
2638,-903.8574,1427.9852,781.39996
7818,176.05,-1166.5499,1810.0
2976,-1279.3215,1104.281,-569.3
3568,-1636.9054,420.28632,1629.7999
9399,-36.05,-1661.45,-1810.0
4641,-1367.2394,-993.35626,1763.7999
9131,530.24994,954.44995,1810.0
3332,-1543.8914,687.3859,-636.3
10042,-1520.7499,-318.15,-1810.0
195,1676.9233,209.82874,1127.5
1151,1021.7727,1346.1354,212.09999
7166,1543.8912,-687.3861,0.0
8675,-884.45,247.44998,1810.0
4054,-1666.6659,-279.86606,-67.0
8435,-1308.6499,-106.049995,1810.0
10978,-248.14998,1166.5499,-1810.0
1049,1129.3439,1257.252,212.09999
1916,35.393097,1689.6293,212.09999
5582,-246.88145,-1671.8701,-212.09999
2489,-721.3757,1528.3053,1060.5
2600,-844.9994,1463.5833,1696.7999
6644,1132.3153,-1254.5764,-848.39996
10999,-1096.5499,1237.2499,-1810.0
606,1514.6411,749.6414,1339.6
6898,1367.2377,-993.35846,-915.39996
3232,-1479.9934,815.9164,-491.19995
483,1571.3223,622.13043,-145.09999
4126,-1652.6527,-353.32553,1417.7
3625,-1665.9984,283.812,-1551.7
10885,954.44995,954.44995,-1810.0
3108,-1368.413,991.73883,1551.7
5344,-587.21313,-1584.702,993.49994
1811,178.64249,1680.5317,0.0
5923,246.87991,-1671.8702,-1339.6
2076,-178.64142,1680.5319,703.3
574,1514.6411,749.6414,-915.39996
9990,1308.6499,-459.54996,-1810.0
8484,-1166.5499,-35.35,1810.0
4098,-1652.6527,-353.32553,-569.3
364,1618.4469,486.54868,-1339.6
9079,-388.14996,883.74994,1810.0
202,1676.9233,209.82874,1629.7999
3579,-1653.0693,351.3714,-1205.5999
1178,966.14777,1386.5996,-1484.7
8516,1096.5499,-35.35,1810.0
11107,600.24994,1449.35,-1810.0
2442,-653.05664,1558.7228,1339.6
9190,-600.25,1095.85,1810.0
10628,672.35,530.24994,-1810.0
10830,-176.05,883.74994,-1810.0
3047,-1323.1981,1051.3071,848.39996
10837,318.15,883.74994,-1810.0
9554,-672.35004,-1166.5499,-1810.0
1023,1129.3439,1257.252,-1629.7999
6404,843.2657,-1464.5829,212.09999
8875,318.15,530.24994,1810.0
2918,-1231.9564,1156.8851,-1060.5
2471,-721.3757,1528.3053,-212.09999
327,1636.9055,420.28583,-357.2
8068,1448.65,-742.35,1810.0
5907,176.65134,-1680.7422,1127.5
6781,1231.9563,-1156.8854,1629.7999
294,1653.0695,351.3707,915.39996
8449,-318.15,-106.049995,1810.0
1285,845.0003,1463.5828,-1127.5
5613,-176.6545,-1680.7418,-1629.7999
7951,-954.44995,-883.75,1810.0
8696,600.24994,247.44998,1810.0
1417,721.3763,1528.305,993.49994
395,1618.4469,486.54868,848.39996
9501,106.049995,-1307.95,-1810.0
420,1595.3373,557.6729,-993.49994
10818,-1024.4501,883.74994,-1810.0
2030,-104.11964,1686.7896,1060.5
8653,812.3499,176.75,1810.0
8790,742.35,388.85,1810.0
8602,460.25,106.049995,1810.0
8504,248.14998,-35.35,1810.0
9041,-176.05,813.0499,1810.0
8595,-36.05,106.049995,1810.0
1204,966.14777,1386.5996,357.2
6331,782.96893,-1497.6848,-1339.6
8225,106.049995,-459.54996,1810.0
8494,-460.24997,-35.35,1810.0
8405,-176.05,-176.75,1810.0
8011,388.15,-813.05,1810.0
7854,248.14998,-1095.85,1810.0
2862,-1183.8589,1206.059,-1417.7
7961,-248.14998,-883.75,1810.0
4291,-1570.5853,-623.98865,-1339.6
2850,-1129.343,1257.2527,1339.6
2890,-1183.8589,1206.059,569.3
7873,-1024.4501,-1025.15,1810.0
5086,-907.2364,-1425.8408,781.39996
5953,246.87991,-1671.8702,781.39996
4437,-1513.7533,-751.4327,1763.7999
5184,-782.97174,-1497.6832,491.19995
10610,-600.25,530.24994,-1810.0
5183,-782.97174,-1497.6832,424.19998
5234,-719.568,-1529.1572,424.19998
3231,-1479.9934,815.9164,-569.3
908,1279.3217,1104.2808,1060.5
2571,-844.9994,1463.5833,-357.2
444,1595.3373,557.6729,703.3
3884,-1688.4327,-72.76728,-1272.6
10211,672.35,-106.049995,-1810.0
7753,106.049995,-1307.95,1810.0
5072,-907.2364,-1425.8408,-212.09999
10690,-1166.5499,671.64996,-1810.0
1326,845.0003,1463.5828,1763.7999
200,1676.9233,209.82874,1484.7
10228,-1448.65,-35.35,-1810.0
5386,-522.2397,-1607.2853,357.2
889,1279.3217,1104.2808,-279.09998
4868,-1132.3168,-1254.5751,-212.09999
4755,-1231.9576,-1156.8839,-993.49994
2374,-589.08606,1584.0068,145.09999
8017,812.3499,-813.05,1810.0
6423,843.2657,-1464.5829,1551.7
9010,600.24994,742.35,1810.0
9290,-530.25,1307.95,1810.0
6600,1075.7031,-1303.4426,-357.2
6342,782.96893,-1497.6848,-569.3
6024,387.85834,-1644.8909,-1417.7
10823,-672.35004,883.74994,-1810.0
9686,884.44995,-954.44995,-1810.0
1706,316.67468,1660.0654,-212.09999
9503,248.14998,-1307.95,-1810.0
910,1279.3217,1104.2808,1205.5999
1580,522.239,1607.2854,1696.7999
4691,-1325.684,-1048.1708,1696.7999
1449,653.0575,1558.7225,-357.2
9566,176.05,-1166.5499,-1810.0
9135,812.3499,954.44995,1810.0
4154,-1636.9058,-420.28506,-212.09999
1577,522.239,1607.2854,1484.7
6523,964.50476,-1387.743,1417.7
38,1689.9988,1.9999992,848.39996
1344,782.97046,1497.684,-569.3
7608,1688.4326,-72.77006,-1205.5999
5879,176.65134,-1680.7422,-848.39996
7733,672.35,-1378.65,1810.0
2420,-653.05664,1558.7228,-212.09999
468,1571.3223,622.13043,-1205.5999
6459,907.2344,-1425.8422,491.19995
3836,-1689.9988,2.0007894,-1060.5
3961,-1684.073,-141.41483,569.3
3715,-1676.9232,209.82979,1205.5999
2532,-782.9699,1497.6842,491.19995
5231,-719.568,-1529.1572,212.09999
7236,1570.5844,-623.9912,1339.6
3366,-1543.8914,687.3859,1763.7999
6701,1182.4304,-1207.4594,-424.19998
8627,-1024.4501,176.75,1810.0
1160,1021.7727,1346.1354,848.39996
9203,318.15,1095.85,1810.0
10466,-1096.5499,318.15,-1810.0
10503,1520.7499,318.15,-1810.0
9724,812.3499,-883.75,-1810.0
4746,-1231.9576,-1156.8839,-1629.7999
8236,884.44995,-459.54996,1810.0
5311,-587.21313,-1584.702,-1339.6
928,1231.957,1156.8844,-1127.5
8859,-812.35,530.24994,1810.0
10623,318.15,530.24994,-1810.0
3152,-1407.6366,935.2322,1060.5
8851,-1378.65,530.24994,1810.0
7534,1676.6737,-211.81454,781.39996
10025,530.24994,-388.84998,-1810.0
1421,721.3763,1528.305,1272.6
8885,1024.45,530.24994,1810.0
5636,-176.6545,-1680.7418,0.0
8622,-1378.65,176.75,1810.0
6367,782.96893,-1497.6848,1205.5999
10496,1024.45,318.15,-1810.0
6152,522.2374,-1607.286,424.19998
3497,-1618.4468,486.5492,212.09999
6155,522.2374,-1607.286,636.3
3446,-1595.3369,557.6738,212.09999
5931,246.87991,-1671.8702,-781.39996
5440,-454.4757,-1627.7444,569.3
4612,-1367.2394,-993.35626,-279.09998
3598,-1653.0693,351.3714,145.09999
2249,-456.4,1627.2059,-1484.7
6832,1278.013,-1105.795,1629.7999
9417,-530.25,-1520.0499,-1810.0
5432,-454.4757,-1627.7444,0.0
9605,460.25,-1095.85,-1810.0
2206,-383.96518,1645.804,-915.39996
5748,-33.39404,-1689.67,703.3
304,1653.0695,351.3707,1629.7999
7999,-460.24997,-813.05,1810.0
4347,-1543.8921,-687.38434,-993.49994
8926,812.3499,600.94995,1810.0
3704,-1676.9232,209.82979,424.19998
8107,1166.5499,-671.65,1810.0
7415,1652.6521,-353.3286,-424.19998
10710,248.14998,671.64996,-1810.0
236,1665.9987,283.81094,424.19998
4646,-1325.684,-1048.1708,-1484.7
8744,742.35,318.15,1810.0
1420,721.3763,1528.305,1205.5999
10677,1024.45,600.94995,-1810.0
8876,388.15,530.24994,1810.0
8964,388.15,671.64996,1810.0
9087,176.05,883.74994,1810.0
6104,454.4734,-1627.745,636.3
3630,-1665.9984,283.812,-1205.5999
9039,-318.15,813.0499,1810.0
6061,387.85834,-1644.8909,1205.5999
5399,-522.2397,-1607.2853,1272.6
8180,106.049995,-530.25,1810.0
2109,-246.87976,1671.8702,-569.3
8721,-884.45,318.15,1810.0
1109,1077.2467,1302.1671,848.39996
2953,-1231.9564,1156.8851,1417.7
8351,-742.35,-247.44998,1810.0
5749,-33.39404,-1689.67,781.39996
2883,-1183.8589,1206.059,67.0
6896,1367.2377,-993.35846,-1060.5
3448,-1595.3369,557.6738,357.2
5346,-587.21313,-1584.702,1127.5
324,1636.9055,420.28583,-569.3
3054,-1323.1981,1051.3071,1339.6
3762,-1684.0729,141.41614,915.39996
3467,-1595.3369,557.6738,1696.7999
3808,-1688.5176,70.770676,569.3
5094,-907.2364,-1425.8408,1339.6
4322,-1570.5853,-623.98865,848.39996
4433,-1513.7533,-751.4327,1484.7
9769,1096.5499,-813.05,-1810.0
4377,-1543.8921,-687.38434,1127.5
2634,-903.8574,1427.9852,491.19995
1674,383.966,1645.8038,1127.5
9324,-106.049995,1378.6499,1810.0
766,1368.4135,991.7382,-1763.7999
4267,-1596.653,-553.89484,569.3
2083,-178.64142,1680.5319,1205.5999
5657,-176.6545,-1680.7418,1484.7
5426,-454.4757,-1627.7444,-424.19998
7635,1688.4326,-72.77006,703.3
3724,-1684.0729,141.41614,-1763.7999
168,1676.9233,209.82874,-781.39996
9440,-460.24997,-1449.35,-1810.0
1322,845.0003,1463.5828,1484.7
4173,-1636.9058,-420.28506,1127.5
6798,1278.013,-1105.795,-781.39996
4100,-1652.6527,-353.32553,-424.19998
1462,653.0575,1558.7225,569.3
9392,176.05,1590.7499,1810.0
1937,35.393097,1689.6293,1696.7999
1398,721.3763,1528.305,-357.2
1620,456.4008,1627.2057,915.39996
10960,954.44995,1095.85,-1810.0
10114,318.15,-247.44998,-1810.0
1544,522.239,1607.2854,-848.39996
6802,1278.013,-1105.795,-491.19995
4220,-1617.8702,-488.46265,848.39996
3757,-1684.0729,141.41614,569.3
9775,-1448.65,-742.35,-1810.0
8176,-176.05,-530.25,1810.0
7300,1617.8695,-488.46497,-1339.6
5484,-387.86063,-1644.8903,67.0
2154,-316.67383,1660.0656,-993.49994
641,1479.9939,815.91565,212.09999
7,1689.9988,1.9999992,-1339.6
7772,-742.35,-1237.25,1810.0
4172,-1636.9058,-420.28506,1060.5
2378,-589.08606,1584.0068,424.19998
10484,176.05,318.15,-1810.0
365,1618.4469,486.54868,-1272.6
7224,1570.5844,-623.9912,491.19995
903,1279.3217,1104.2808,703.3
5535,-314.7104,-1660.439,67.0
11066,-530.25,1378.6499,-1810.0
6744,1231.9563,-1156.8854,-993.49994
10446,742.35,247.44998,-1810.0
7576,1684.0729,-141.41719,145.09999
1490,589.08685,1584.0065,-1060.5
3384,-1571.322,622.131,-569.3
7717,-460.24997,-1378.65,1810.0
1552,522.239,1607.2854,-279.09998
3820,-1688.5176,70.770676,1417.7
10008,-672.35004,-388.84998,-1810.0
3258,-1479.9934,815.9164,1339.6
1140,1021.7727,1346.1354,-569.3
9859,1448.65,-671.65,-1810.0
10890,1308.6499,954.44995,-1810.0
5431,-454.4757,-1627.7444,-67.0
6131,522.2374,-1607.286,-1060.5
1751,246.88042,1671.8702,-636.3
9682,600.24994,-954.44995,-1810.0
6301,719.56586,-1529.1582,145.09999
8392,-1096.5499,-176.75,1810.0
232,1665.9987,283.81094,145.09999
6344,782.96893,-1497.6848,-424.19998
7848,-176.05,-1095.85,1810.0
6369,782.96893,-1497.6848,1339.6
4855,-1132.3168,-1254.5751,-1127.5
4805,-1182.4319,-1207.458,-1060.5
5452,-454.4757,-1627.7444,1417.7
